DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/14/2018,18:00,BROOKLYN,11234,40.605072,-73.92988,"(40.605072, -73.92988)",EAST 33 STREET                  ,AVENUE U,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3834097,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/14/2018,18:00,MANHATTAN,10009,40.7252,-73.98706,"(40.7252, -73.98706)",1 AVENUE                        ,EAST 4 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Reaction to Other Uninvolved Vehicle,,,,3829719,PASSENGER VEHICLE,TAXI,,,
01/14/2018,18:00,QUEENS,11413,40.67759,-73.74479,"(40.67759, -73.74479)",225 STREET                      ,MERRICK BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3828436,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/14/2018,18:00,,,40.679264,-73.7801,"(40.679264, -73.7801)",BREWER BOULEVARD                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3828467,PASSENGER VEHICLE,,,,
01/14/2018,18:00,,,40.844875,-73.8678,"(40.844875, -73.8678)",UNIONPORT ROAD                  ,MORRIS PARK AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3828749,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,18:00,,,40.736965,-74.009796,"(40.736965, -74.009796)",WEST STREET                     ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3828878,TAXI,SPORT UTILITY / STATION WAGON,,,
01/14/2018,18:05,STATEN ISLAND,10306,40.56763,-74.11263,"(40.56763, -74.11263)",HYLAN BOULEVARD                 ,BEACH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3829093,PASSENGER VEHICLE,,,,
01/14/2018,18:10,,,40.733727,-74.00281,"(40.733727, -74.00281)",7 AVENUE SOUTH                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3828851,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/14/2018,18:10,,,40.737907,-73.877174,"(40.737907, -73.877174)",BROADWAY                        ,JUSTICE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3828842,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,18:10,,,40.84525,-73.91499,"(40.84525, -73.91499)",CROSS BRONX EXPY                ,,,4,0,0,0,0,0,4,0,Following Too Closely,Following Too Closely,,,,3829028,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/14/2018,18:14,MANHATTAN,10075,40.774323,-73.96149,"(40.774323, -73.96149)",PARK AVENUE                     ,EAST 77 STREET,,2,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3829174,TAXI,,,,
01/14/2018,18:15,,,40.84609,-73.944756,"(40.84609, -73.944756)",HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3828486,SPORT UTILITY / STATION WAGON,,,,
01/14/2018,18:15,,,40.885098,-73.90066,"(40.885098, -73.90066)",WEST 238 STREET                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3828801,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/14/2018,18:15,QUEENS,11373,40.73761,-73.87655,"(40.73761, -73.87655)",JUSTICE AVENUE                  ,52 AVENUE,,1,0,1,0,0,0,0,0,,,,,,3828231,,,,,
01/14/2018,18:20,QUEENS,11378,40.72311,-73.90593,"(40.72311, -73.90593)",,,60-19     MASPETH AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3828627,PASSENGER VEHICLE,,,,
01/14/2018,18:20,,,40.813553,-73.95521,"(40.813553, -73.95521)",WEST 127 STREET                 ,,,0,0,0,0,0,0,0,0,,,,,,3830622,,,,,
01/14/2018,18:22,QUEENS,11361,40.761124,-73.763725,"(40.761124, -73.763725)",,,218-01    NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3828443,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/14/2018,18:30,QUEENS,11004,40.7364,-73.71271,"(40.7364, -73.71271)",,,255-03    HILLSIDE AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3830255,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,18:35,BROOKLYN,11210,40.636086,-73.95091,"(40.636086, -73.95091)",FARRAGUT ROAD                   ,ROGERS AVENUE,,1,0,1,0,0,0,0,0,,,,,,3828863,,,,,
01/14/2018,18:40,BRONX,10469,40.866432,-73.86155,"(40.866432, -73.86155)",,,2721      BRONXWOOD AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,,,,,3828748,SPORT UTILITY / STATION WAGON,,,,
01/14/2018,18:40,,,40.708794,-73.72763,"(40.708794, -73.72763)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3834157,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/14/2018,18:40,,,40.65698,-73.88943,"(40.65698, -73.88943)",PENNSYLVANIA AVENUE             ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3828947,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/14/2018,18:40,,,40.664494,-73.93431,"(40.664494, -73.93431)",SCHENECTADY AVENUE              ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3830088,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
01/14/2018,18:45,,,40.608765,-74.15957,"(40.608765, -74.15957)",,,37        LEONA STREET                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3828500,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/14/2018,18:47,,,40.679737,-73.76162,"(40.679737, -73.76162)",FARMERS BOULEVARD               ,MERRICK BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3828466,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/14/2018,18:50,,,40.84065,-73.91902,"(40.84065, -73.91902)",WEST 170 STREET                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3828994,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/14/2018,18:50,QUEENS,11434,40.667847,-73.77612,"(40.667847, -73.77612)",NORTH CONDUIT AVENUE            ,159 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,Unspecified,,3828452,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,TAXI,SPORT UTILITY / STATION WAGON,
01/14/2018,18:52,QUEENS,11355,40.743282,-73.82685,"(40.743282, -73.82685)",,,138-38    60 AVENUE                     ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3828600,SPORT UTILITY / STATION WAGON,TAXI,,,
01/14/2018,19:00,MANHATTAN,10002,40.71431,-73.987175,"(40.71431, -73.987175)",CLINTON STREET                  ,EAST BROADWAY,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,,,,,3828524,SPORT UTILITY / STATION WAGON,TAXI,,,
01/14/2018,19:00,QUEENS,11101,40.739674,-73.934586,"(40.739674, -73.934586)",HUNTERS POINT AVENUE            ,VANDAM STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3828550,SPORT UTILITY / STATION WAGON,,,,
01/14/2018,19:00,,,40.84474,-73.922585,"(40.84474, -73.922585)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3829039,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/14/2018,19:00,,,40.786495,-73.79463,"(40.786495, -73.79463)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3828167,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
